NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
Windsor town,Massachusetts,899,899,900,902,902
Bristol County,Massachusetts,548285,548285,549223,549612,551082
Attleboro city,Massachusetts,43593,43593,43613,43689,43837
Fall River city,Massachusetts,88857,88857,88865,88842,88945
New Bedford city,Massachusetts,95072,95072,95050,94885,94929
Taunton city,Massachusetts,55874,55874,55897,55956,56055
Balance of Bristol County,Massachusetts,264889,264889,265798,266240,267316
Acushnet town,Massachusetts,10303,10303,10306,10309,10326
Attleboro city,Massachusetts,43593,43593,43613,43689,43837
Attleboro city,Massachusetts,43593,43593,43613,43689,43837
Berkley town,Massachusetts,6411,6411,6421,6460,6499
Dartmouth town,Massachusetts,34032,34032,34393,34339,34448
Dighton town,Massachusetts,7086,7086,7088,7094,7152
Easton town,Massachusetts,23112,23112,23343,23281,23352
Fairhaven town,Massachusetts,15873,15873,15879,15870,15900
Fall River city,Massachusetts,88857,88857,88865,88842,88945
Fall River city,Massachusetts,88857,88857,88865,88842,88945
Freetown town,Massachusetts,8870,8870,8880,8902,8948
Mansfield town,Massachusetts,23184,23184,23198,23231,23414
New Bedford city,Massachusetts,95072,95072,95050,94885,94929
New Bedford city,Massachusetts,95072,95072,95050,94885,94929
North Attleborough town,Massachusetts,28712,28712,28726,28743,28806
Norton town,Massachusetts,19031,19031,19161,19247,19310
Raynham town,Massachusetts,13383,13383,13392,13443,13504
Rehoboth town,Massachusetts,11608,11608,11628,11675,11739
Seekonk town,Massachusetts,13722,13722,13745,13863,13983
Somerset town,Massachusetts,18165,18165,18212,18253,18270
Swansea town,Massachusetts,15865,15865,15879,15938,16010
Taunton city,Massachusetts,55874,55874,55897,55956,56055
Taunton city,Massachusetts,55874,55874,55897,55956,56055
Westport town,Massachusetts,15532,15532,15547,15592,15655
Dukes County,Massachusetts,16535,16535,16574,16787,17041
Aquinnah town,Massachusetts,311,311,312,316,319
Chilmark town,Massachusetts,866,866,869,884,900
Edgartown town,Massachusetts,4067,4067,4082,4138,4209
Gosnold town,Massachusetts,75,75,75,75,76
Oak Bluffs town,Massachusetts,4527,4527,4533,4582,4642
Tisbury town,Massachusetts,3949,3949,3956,4008,4067
West Tisbury town,Massachusetts,2740,2740,2747,2784,2828
Essex County,Massachusetts,743159,743167,744915,750824,755618
Amesbury Town city,Massachusetts,16283,16283,16316,16437,16535
Beverly city,Massachusetts,39502,39502,39709,40046,40286
Gloucester city,Massachusetts,28789,28789,28860,29018,29191
Haverhill city,Massachusetts,60879,60879,60967,61456,61797
Lawrence city,Massachusetts,76377,76377,76519,76960,77326
Lynn city,Massachusetts,90329,90329,90490,90880,91253
Methuen Town city,Massachusetts,47255,47255,47355,47691,48009
Newburyport city,Massachusetts,17416,17416,17447,17554,17654
Peabody city,Massachusetts,51251,51251,51369,51597,51867
Salem city,Massachusetts,41340,41340,41830,42047,42219
Balance of Essex County,Massachusetts,273738,273746,274053,277138,279481
Amesbury Town city,Massachusetts,16283,16283,16316,16437,16535
Amesbury Town city,Massachusetts,16283,16283,16316,16437,16535
Andover town,Massachusetts,33201,33209,33285,33869,34142
Beverly city,Massachusetts,39502,39502,39709,40046,40286
Beverly city,Massachusetts,39502,39502,39709,40046,40286
Boxford town,Massachusetts,7965,7965,7984,8039,8087
Danvers town,Massachusetts,26493,26493,26522,26880,27020
Essex town,Massachusetts,3504,3504,3514,3561,3584
