NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
Blackstone town,Massachusetts,9026,9026,9030,9040,9059
Bolton town,Massachusetts,4897,4897,4926,4981,5016
Boylston town,Massachusetts,4355,4355,4356,4357,4393
Brookfield town,Massachusetts,3390,3390,3393,3397,3403
Charlton town,Massachusetts,12981,12981,13000,13059,13119
Clinton town,Massachusetts,13606,13606,13624,13633,13668
Douglas town,Massachusetts,8471,8471,8477,8530,8572
Dudley town,Massachusetts,11390,11390,11467,11511,11557
East Brookfield town,Massachusetts,2183,2183,2185,2184,2186
Fitchburg city,Massachusetts,40318,40318,40417,40367,40411
Fitchburg city,Massachusetts,40318,40318,40417,40367,40411
Gardner city,Massachusetts,20228,20228,20161,20202,20254
Gardner city,Massachusetts,20228,20228,20161,20202,20254
Grafton town,Massachusetts,17765,17765,17788,17888,18045
Hardwick town,Massachusetts,2990,2990,2990,2993,2995
Harvard town,Massachusetts,6520,6520,6529,6526,6530
Holden town,Massachusetts,17346,17346,17368,17504,17636
Hopedale town,Massachusetts,5911,5911,5913,5921,5930
Hubbardston town,Massachusetts,4382,4382,4396,4404,4426
Lancaster town,Massachusetts,8055,8055,8064,7921,7956
Leicester town,Massachusetts,10970,10970,10985,11061,11110
Leominster city,Massachusetts,40759,40759,40774,40888,40989
Leominster city,Massachusetts,40759,40759,40774,40888,40989
Lunenburg town,Massachusetts,10086,10086,10088,10819,10847
Mendon town,Massachusetts,5839,5839,5846,5860,5876
Milford town,Massachusetts,27999,27999,28035,28106,28184
Millbury town,Massachusetts,13261,13261,13266,13284,13305
Millville town,Massachusetts,3190,3190,3192,3190,3198
New Braintree town,Massachusetts,999,999,1002,1009,1018
Northborough town,Massachusetts,14155,14155,14392,14667,14724
Northbridge town,Massachusetts,15707,15707,15724,15854,15917
North Brookfield town,Massachusetts,4680,4680,4681,4679,4682
Oakham town,Massachusetts,1902,1902,1903,1907,1913
Oxford town,Massachusetts,13709,13709,13715,13737,13771
Paxton town,Massachusetts,4806,4806,4826,4854,4860
Petersham town,Massachusetts,1234,1234,1235,1239,1239
Phillipston town,Massachusetts,1682,1683,1684,1687,1693
Princeton town,Massachusetts,3413,3413,3418,3430,3436
Royalston town,Massachusetts,1258,1258,1259,1259,1263
Rutland town,Massachusetts,7973,7973,7997,8109,8185
Shrewsbury town,Massachusetts,35608,35608,35666,35901,36077
Southborough town,Massachusetts,9767,9767,9774,9817,9854
Southbridge Town city,Massachusetts,16719,16719,16728,16757,16799
Southbridge Town city,Massachusetts,16719,16719,16728,16757,16799
Spencer town,Massachusetts,11688,11688,11693,11722,11749
Sterling town,Massachusetts,7808,7808,7814,7828,7858
Sturbridge town,Massachusetts,9268,9268,9282,9320,9350
Sutton town,Massachusetts,8963,8963,8972,9018,9077
Templeton town,Massachusetts,8013,8013,8021,8026,8051
Upton town,Massachusetts,7542,7542,7555,7605,7640
Uxbridge town,Massachusetts,13457,13457,13467,13504,13560
Warren town,Massachusetts,5135,5135,5136,5139,5142
Webster town,Massachusetts,16767,16767,16775,16794,16812
Westborough town,Massachusetts,18272,18272,18284,18408,18455
West Boylston town,Massachusetts,7669,7669,7718,7752,7779
West Brookfield town,Massachusetts,3701,3701,3706,3718,3731
Westminster town,Massachusetts,7277,7277,7285,7304,7339
Winchendon town,Massachusetts,10300,10300,10324,10403,10472
Worcester city,Massachusetts,181045,181045,181861,182434,182669
Worcester city,Massachusetts,181045,181045,181861,182434,182669

